status_1,Concept
status_2,Registered
status_3,Enroute - handed to carrier
status_4,Enroute - Sorting
status_5,Enroute - Distribution
status_6,Enroute - Customs
status_7,Delivered - At recipient
status_8,Delivered - Ready for pickup
status_9,Delivered - Package picked up
status_10,Delivered - Return shipment
status_11,Delivered - Return shipment pickup location
status_12,Unrelated label printed
status_13,Credited
status_30,Inactive - Concept
status_31,Inactive - Registered
status_32,Inactive - Enroute - Handed to carrier
status_33,Inactive - Enroute - Sorting
status_34,Inactive - Enroute - Distribution
status_35,Inactive - Enroute - Customs
status_36,Inactive - Delivered - At recipient
status_37,Inactive - Delivered - Ready for pickup
status_38,Inactive - Delivered - Package picked up
status_39,Inactive - Return shipment delivered
status_40,Inactive - Return shipment pickup location
status_99,Inactive - Unknown
myparcelbe_magento_bpost_settings/delivery_title, bpost delivery
myparcelbe_magento_bpost_settings/pickup_title, bpost pickup location
myparcelbe_magento_bpost_settings/delivery/signature_title, bpost delivery with signature
myparcelbe_magento_dpd_settings/delivery_title,  DPD delivery
myparcelbe_magento_dpd_settings/pickup_title, DPD pickup location
